node_id,node_kind,symbol,file,line,column
0,MODULE,,rustc_wrapper/analysis_capture/src/main.rs,1,1
1,BASIC_BLOCK,<ErrorCategory as std::fmt::Debug>::fmt::bb0,rustc_wrapper/analysis_capture/src/main.rs,267,10
2,CALL_SITE,<ErrorCategory as std::fmt::Debug>::fmt::bb0::call0,rustc_wrapper/analysis_capture/src/main.rs,267,10
3,BASIC_BLOCK,<ErrorCategory as std::fmt::Debug>::fmt::bb1,rustc_wrapper/analysis_capture/src/main.rs,267,15
4,METHOD,<ErrorCategory as std::fmt::Debug>::fmt::fn,rustc_wrapper/analysis_capture/src/main.rs,267,10
5,PARAM,<ErrorCategory as std::fmt::Debug>::fmt::param0,rustc_wrapper/analysis_capture/src/main.rs,267,10
6,PARAM,<ErrorCategory as std::fmt::Debug>::fmt::param1,rustc_wrapper/analysis_capture/src/main.rs,267,10
7,BASIC_BLOCK,<ErrorSummary as std::fmt::Debug>::fmt::bb0,rustc_wrapper/analysis_capture/src/main.rs,261,10
8,CALL_SITE,<ErrorSummary as std::fmt::Debug>::fmt::bb0::call0,rustc_wrapper/analysis_capture/src/main.rs,261,10
9,BASIC_BLOCK,<ErrorSummary as std::fmt::Debug>::fmt::bb1,rustc_wrapper/analysis_capture/src/main.rs,261,15
10,METHOD,<ErrorSummary as std::fmt::Debug>::fmt::fn,rustc_wrapper/analysis_capture/src/main.rs,261,10
11,PARAM,<ErrorSummary as std::fmt::Debug>::fmt::param0,rustc_wrapper/analysis_capture/src/main.rs,261,10
12,PARAM,<ErrorSummary as std::fmt::Debug>::fmt::param1,rustc_wrapper/analysis_capture/src/main.rs,261,10
13,IMPL,<MirCaptureCallbacks as rustc_driver::Callbacks>,rustc_wrapper/analysis_capture/src/main.rs,33,1
14,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb0,rustc_wrapper/analysis_capture/src/main.rs,49,25
15,CALL_SITE,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb0::call0,rustc_wrapper/analysis_capture/src/main.rs,49,25
16,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb1,rustc_wrapper/analysis_capture/src/main.rs,51,27
17,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb10,rustc_wrapper/analysis_capture/src/main.rs,53,9
18,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb11,rustc_wrapper/analysis_capture/src/main.rs,55,5
19,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb12,rustc_wrapper/analysis_capture/src/main.rs,43,5
20,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb13,rustc_wrapper/analysis_capture/src/main.rs,53,9
21,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb14,rustc_wrapper/analysis_capture/src/main.rs,53,9
22,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb15,rustc_wrapper/analysis_capture/src/main.rs,53,9
23,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb16,rustc_wrapper/analysis_capture/src/main.rs,53,9
24,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb17,rustc_wrapper/analysis_capture/src/main.rs,53,9
25,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb18,rustc_wrapper/analysis_capture/src/main.rs,43,5
26,CALL_SITE,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb1::call1,rustc_wrapper/analysis_capture/src/main.rs,51,27
27,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb2,rustc_wrapper/analysis_capture/src/main.rs,51,16
28,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb3,rustc_wrapper/analysis_capture/src/main.rs,52,61
29,CALL_SITE,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb3::call2,rustc_wrapper/analysis_capture/src/main.rs,52,61
30,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb4,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,29
31,CALL_SITE,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb4::call3,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,29
32,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb5,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,9
33,CALL_SITE,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb5::call4,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,9
34,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb6,rustc_wrapper/analysis_capture/src/main.rs,53,9
35,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb7,rustc_wrapper/analysis_capture/src/main.rs,53,9
36,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb8,rustc_wrapper/analysis_capture/src/main.rs,55,5
37,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb9,rustc_wrapper/analysis_capture/src/main.rs,55,6
38,METHOD,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::fn,rustc_wrapper/analysis_capture/src/main.rs,43,5
39,PARAM,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::param0,rustc_wrapper/analysis_capture/src/main.rs,44,9
40,PARAM,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::param1,rustc_wrapper/analysis_capture/src/main.rs,45,9
41,PARAM,<MirCaptureCallbacks as rustc_driver::Callbacks>::after_analysis::param2,rustc_wrapper/analysis_capture/src/main.rs,46,9
42,BASIC_BLOCK,<MirCaptureCallbacks as rustc_driver::Callbacks>::config::bb0,rustc_wrapper/analysis_capture/src/main.rs,41,6
43,METHOD,<MirCaptureCallbacks as rustc_driver::Callbacks>::config::fn,rustc_wrapper/analysis_capture/src/main.rs,34,5
44,PARAM,<MirCaptureCallbacks as rustc_driver::Callbacks>::config::param0,rustc_wrapper/analysis_capture/src/main.rs,34,15
45,PARAM,<MirCaptureCallbacks as rustc_driver::Callbacks>::config::param1,rustc_wrapper/analysis_capture/src/main.rs,34,26
46,STRUCT,ErrorCategory,rustc_wrapper/analysis_capture/src/main.rs,268,1
47,FIELD,ErrorCategory::count,rustc_wrapper/analysis_capture/src/main.rs,268,1
48,FIELD,ErrorCategory::level,rustc_wrapper/analysis_capture/src/main.rs,268,1
49,FIELD,ErrorCategory::message,rustc_wrapper/analysis_capture/src/main.rs,268,1
50,STRUCT,ErrorSummary,rustc_wrapper/analysis_capture/src/main.rs,262,1
51,FIELD,ErrorSummary::by_code,rustc_wrapper/analysis_capture/src/main.rs,262,1
52,FIELD,ErrorSummary::count,rustc_wrapper/analysis_capture/src/main.rs,262,1
53,STRUCT,MirCaptureCallbacks,rustc_wrapper/analysis_capture/src/main.rs,29,1
54,FIELD,MirCaptureCallbacks::output_dir,rustc_wrapper/analysis_capture/src/main.rs,29,1
55,BASIC_BLOCK,analysis_engine_bin::bb0,rustc_wrapper/analysis_capture/src/main.rs,367,31
56,CALL_SITE,analysis_engine_bin::bb0::call0,rustc_wrapper/analysis_capture/src/main.rs,367,31
57,BASIC_BLOCK,analysis_engine_bin::bb1,rustc_wrapper/analysis_capture/src/main.rs,367,31
58,BASIC_BLOCK,analysis_engine_bin::bb10,rustc_wrapper/analysis_capture/src/main.rs,369,12
59,BASIC_BLOCK,analysis_engine_bin::bb11,rustc_wrapper/analysis_capture/src/main.rs,372,5
60,BASIC_BLOCK,analysis_engine_bin::bb12,rustc_wrapper/analysis_capture/src/main.rs,372,5
61,BASIC_BLOCK,analysis_engine_bin::bb13,rustc_wrapper/analysis_capture/src/main.rs,372,5
62,BASIC_BLOCK,analysis_engine_bin::bb14,rustc_wrapper/analysis_capture/src/main.rs,373,22
63,CALL_SITE,analysis_engine_bin::bb14::call8,rustc_wrapper/analysis_capture/src/main.rs,373,22
64,BASIC_BLOCK,analysis_engine_bin::bb15,rustc_wrapper/analysis_capture/src/main.rs,374,15
65,BASIC_BLOCK,analysis_engine_bin::bb16,rustc_wrapper/analysis_capture/src/main.rs,375,19
66,CALL_SITE,analysis_engine_bin::bb16::call9,rustc_wrapper/analysis_capture/src/main.rs,375,19
67,BASIC_BLOCK,analysis_engine_bin::bb17,rustc_wrapper/analysis_capture/src/main.rs,375,19
68,CALL_SITE,analysis_engine_bin::bb17::call10,rustc_wrapper/analysis_capture/src/main.rs,375,19
69,BASIC_BLOCK,analysis_engine_bin::bb18,rustc_wrapper/analysis_capture/src/main.rs,375,19
70,CALL_SITE,analysis_engine_bin::bb18::call11,rustc_wrapper/analysis_capture/src/main.rs,375,19
71,BASIC_BLOCK,analysis_engine_bin::bb19,rustc_wrapper/analysis_capture/src/main.rs,375,19
72,CALL_SITE,analysis_engine_bin::bb19::call12,rustc_wrapper/analysis_capture/src/main.rs,375,19
73,CALL_SITE,analysis_engine_bin::bb1::call1,rustc_wrapper/analysis_capture/src/main.rs,367,31
