node_id,node_kind,symbol,file,line,column
0,MODULE,,rustc_wrapper/rustc_capture/src/main.rs,1,1
1,IMPL,<CaptureCallbacks as rustc_driver::Callbacks>,rustc_wrapper/rustc_capture/src/main.rs,21,1
2,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb0,rustc_wrapper/rustc_capture/src/main.rs,23,15
3,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb0::call0,rustc_wrapper/rustc_capture/src/main.rs,23,15
4,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb1,rustc_wrapper/rustc_capture/src/main.rs,23,9
5,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb10,rustc_wrapper/rustc_capture/src/main.rs,25,17
6,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb11,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,29
7,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb11::call6,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,29
8,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb12,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,9
9,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb12::call7,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,9
10,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb13,rustc_wrapper/rustc_capture/src/main.rs,29,13
11,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb14,rustc_wrapper/rustc_capture/src/main.rs,29,13
12,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb15,rustc_wrapper/rustc_capture/src/main.rs,25,57
13,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb16,rustc_wrapper/rustc_capture/src/main.rs,25,56
14,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb17,rustc_wrapper/rustc_capture/src/main.rs,33,6
15,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb18,rustc_wrapper/rustc_capture/src/main.rs,25,56
16,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb19,rustc_wrapper/rustc_capture/src/main.rs,25,56
17,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb2,rustc_wrapper/rustc_capture/src/main.rs,23,15
18,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb20,rustc_wrapper/rustc_capture/src/main.rs,22,5
19,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb3,rustc_wrapper/rustc_capture/src/main.rs,28,59
20,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb3::call1,rustc_wrapper/rustc_capture/src/main.rs,28,59
21,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb4,rustc_wrapper/rustc_capture/src/main.rs,25,18
22,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb4::call2,rustc_wrapper/rustc_capture/src/main.rs,25,18
23,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb5,rustc_wrapper/rustc_capture/src/main.rs,25,18
24,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb5::call3,rustc_wrapper/rustc_capture/src/main.rs,25,18
25,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb6,rustc_wrapper/rustc_capture/src/main.rs,25,18
26,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb6::call4,rustc_wrapper/rustc_capture/src/main.rs,25,18
27,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb7,rustc_wrapper/rustc_capture/src/main.rs,25,17
28,CALL_SITE,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb7::call5,rustc_wrapper/rustc_capture/src/main.rs,25,17
29,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb8,rustc_wrapper/rustc_capture/src/main.rs,25,17
30,BASIC_BLOCK,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::bb9,rustc_wrapper/rustc_capture/src/main.rs,25,57
31,METHOD,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::fn,rustc_wrapper/rustc_capture/src/main.rs,22,5
32,PARAM,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::param0,rustc_wrapper/rustc_capture/src/main.rs,22,29
33,PARAM,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::param1,rustc_wrapper/rustc_capture/src/main.rs,22,40
34,PARAM,<CaptureCallbacks as rustc_driver::Callbacks>::after_analysis::param2,rustc_wrapper/rustc_capture/src/main.rs,22,62
35,STRUCT,CaptureCallbacks,rustc_wrapper/rustc_capture/src/main.rs,17,1
36,FIELD,CaptureCallbacks::ir_slot,rustc_wrapper/rustc_capture/src/main.rs,17,1
37,BASIC_BLOCK,main::bb0,rustc_wrapper/rustc_capture/src/main.rs,37,29
38,CALL_SITE,main::bb0::call0,rustc_wrapper/rustc_capture/src/main.rs,37,29
39,BASIC_BLOCK,main::bb1,rustc_wrapper/rustc_capture/src/main.rs,37,29
40,BASIC_BLOCK,main::bb10,rustc_wrapper/rustc_capture/src/main.rs,44,35
41,BASIC_BLOCK,main::bb100,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,9
42,CALL_SITE,main::bb100::call81,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,9
43,BASIC_BLOCK,main::bb101,rustc_wrapper/rustc_capture/src/main.rs,100,76
44,BASIC_BLOCK,main::bb102,rustc_wrapper/rustc_capture/src/main.rs,102,5
45,BASIC_BLOCK,main::bb103,rustc_wrapper/rustc_capture/src/main.rs,104,5
46,CALL_SITE,main::bb103::call82,rustc_wrapper/rustc_capture/src/main.rs,104,5
47,BASIC_BLOCK,main::bb104,rustc_wrapper/rustc_capture/src/main.rs,100,76
48,BASIC_BLOCK,main::bb105,rustc_wrapper/rustc_capture/src/main.rs,96,17
49,BASIC_BLOCK,main::bb106,rustc_wrapper/rustc_capture/src/main.rs,102,5
50,BASIC_BLOCK,main::bb107,rustc_wrapper/rustc_capture/src/main.rs,102,5
51,BASIC_BLOCK,main::bb108,rustc_wrapper/rustc_capture/src/main.rs,105,1
52,BASIC_BLOCK,main::bb109,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/macros.rs,59,95
53,CALL_SITE,main::bb10::call10,rustc_wrapper/rustc_capture/src/main.rs,44,35
54,BASIC_BLOCK,main::bb11,rustc_wrapper/rustc_capture/src/main.rs,47,20
55,BASIC_BLOCK,main::bb110,rustc_wrapper/rustc_capture/src/main.rs,105,1
56,BASIC_BLOCK,main::bb111,rustc_wrapper/rustc_capture/src/main.rs,105,1
57,BASIC_BLOCK,main::bb112,rustc_wrapper/rustc_capture/src/main.rs,105,1
58,BASIC_BLOCK,main::bb113,rustc_wrapper/rustc_capture/src/main.rs,66,116
59,BASIC_BLOCK,main::bb114,rustc_wrapper/rustc_capture/src/main.rs,61,116
60,BASIC_BLOCK,main::bb115,rustc_wrapper/rustc_capture/src/main.rs,59,73
61,BASIC_BLOCK,main::bb116,rustc_wrapper/rustc_capture/src/main.rs,54,118
62,BASIC_BLOCK,main::bb117,rustc_wrapper/rustc_capture/src/main.rs,105,1
63,BASIC_BLOCK,main::bb118,rustc_wrapper/rustc_capture/src/main.rs,105,1
64,BASIC_BLOCK,main::bb119,rustc_wrapper/rustc_capture/src/main.rs,105,1
65,CALL_SITE,main::bb11::call11,rustc_wrapper/rustc_capture/src/main.rs,47,20
66,BASIC_BLOCK,main::bb12,rustc_wrapper/rustc_capture/src/main.rs,47,20
67,BASIC_BLOCK,main::bb120,rustc_wrapper/rustc_capture/src/main.rs,36,1
68,BASIC_BLOCK,main::bb121,rustc_wrapper/rustc_capture/src/main.rs,97,53
69,CALL_SITE,main::bb121::call83,rustc_wrapper/rustc_capture/src/main.rs,97,53
70,BASIC_BLOCK,main::bb122,rustc_wrapper/rustc_capture/src/main.rs,102,5
71,BASIC_BLOCK,main::bb123,rustc_wrapper/rustc_capture/src/main.rs,102,5
72,BASIC_BLOCK,main::bb124,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/macros.rs,59,86
73,BASIC_BLOCK,main::bb125,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/macros.rs,58,9
74,CALL_SITE,main::bb125::call84,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/macros.rs,58,9
75,BASIC_BLOCK,main::bb126,rustc_wrapper/rustc_capture/src/main.rs,50,12
76,BASIC_BLOCK,main::bb127,/home/cicero-arch-omen/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/std/src/macros.rs,221,9
77,CALL_SITE,main::bb12::call12,rustc_wrapper/rustc_capture/src/main.rs,47,20
78,BASIC_BLOCK,main::bb13,rustc_wrapper/rustc_capture/src/main.rs,47,20
79,CALL_SITE,main::bb13::call13,rustc_wrapper/rustc_capture/src/main.rs,47,20
80,BASIC_BLOCK,main::bb14,rustc_wrapper/rustc_capture/src/main.rs,47,20
81,BASIC_BLOCK,main::bb15,rustc_wrapper/rustc_capture/src/main.rs,48,12
